year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,origin,dest,air_time,distance,hour,minute,tailnum
2013,11,1,2055.0,2100,-5.0,2349.0,20,-31.0,DL,427,JFK,LAX,331.0,2475,21,0,N1200K
2013,11,1,1722.0,1725,-3.0,2002.0,2019,-17.0,UA,1109,EWR,MCO,141.0,937,17,25,N12125
2013,11,1,651.0,640,11.0,812.0,807,5.0,EV,4422,EWR,PIT,63.0,319,6,40,N12136
2013,11,1,2029.0,2006,23.0,2307.0,2213,54.0,EV,4321,EWR,MCI,176.0,1092,20,6,N12142
2013,11,1,623.0,630,-7.0,806.0,808,-2.0,EV,4424,EWR,RDU,73.0,416,6,30,N12157
2013,11,1,1155.0,1203,-8.0,1408.0,1412,-4.0,EV,4567,EWR,MCI,170.0,1092,12,3,N12175
2013,11,1,639.0,635,4.0,830.0,833,-3.0,EV,4535,EWR,MSP,146.0,1008,6,35,N12201
2013,11,1,705.0,710,-5.0,911.0,911,0.0,EV,4155,EWR,GRR,102.0,605,7,10,N12569
2013,11,1,1605.0,1544,21.0,1805.0,1750,15.0,US,1767,LGA,CLT,99.0,544,15,44,N127UW
2013,11,1,652.0,700,-8.0,842.0,838,4.0,EV,3829,EWR,STL,148.0,872,7,0,N12921
2013,11,1,1305.0,1311,-6.0,1450.0,1449,1.0,EV,3822,EWR,GSO,83.0,445,13,11,N12921
2013,11,1,1813.0,1740,33.0,2000.0,1931,29.0,EV,3843,EWR,CMH,81.0,463,17,40,N12921
2013,11,1,923.0,929,-6.0,1156.0,1138,18.0,EV,4087,EWR,IND,109.0,645,9,29,N12922
2013,11,1,1457.0,1453,4.0,1554.0,1556,-2.0,EV,4133,EWR,PVD,30.0,160,14,53,N12922
2013,11,1,1139.0,1144,-5.0,1424.0,1429,-5.0,UA,1519,EWR,MCO,149.0,937,11,44,N13113
2013,11,1,2117.0,2023,54.0,2322.0,2240,42.0,EV,4085,EWR,OMA,165.0,1134,20,23,N13133
2013,11,1,615.0,619,-4.0,753.0,819,-26.0,EV,5503,EWR,MSP,142.0,1008,6,19,N134EV
2013,11,1,623.0,630,-7.0,839.0,839,0.0,EV,4393,EWR,IND,114.0,645,6,30,N13538
2013,11,1,1241.0,1219,22.0,1544.0,1519,25.0,UA,1496,EWR,SNA,340.0,2434,12,19,N13716
2013,11,1,1234.0,1239,-5.0,1415.0,1420,-5.0,EV,4335,EWR,CMH,81.0,463,12,39,N13914
2013,11,1,1348.0,1355,-7.0,1547.0,1542,5.0,EV,4100,EWR,MEM,155.0,946,13,55,N13949
2013,11,1,815.0,822,-7.0,1016.0,1014,2.0,EV,4691,EWR,DAY,82.0,533,8,22,N13955
2013,11,1,1340.0,1305,35.0,1500.0,1427,33.0,EV,5816,EWR,RIC,55.0,277,13,5,N13955
2013,11,1,2156.0,2159,-3.0,2258.0,2306,-8.0,EV,3842,EWR,MHT,35.0,209,21,59,N13955
2013,11,1,1127.0,1130,-3.0,1333.0,1338,-5.0,EV,4445,EWR,IND,111.0,645,11,30,N13956
2013,11,1,1757.0,1649,68.0,2024.0,1903,81.0,EV,4294,EWR,SAV,124.0,708,16,49,N13956
2013,11,1,850.0,759,51.0,1015.0,906,69.0,EV,3827,EWR,MHT,49.0,209,7,59,N13958
2013,11,1,1832.0,1625,127.0,2052.0,1838,134.0,EV,4684,EWR,SDF,110.0,642,16,25,N13958
2013,11,1,1704.0,1710,-6.0,1824.0,1829,-5.0,EV,4113,EWR,RIC,64.0,277,17,10,N13969
2013,11,1,1352.0,1346,6.0,1602.0,1555,7.0,EV,4395,EWR,IND,109.0,645,13,46,N13988
2013,11,1,1936.0,1935,1.0,2144.0,2146,-2.0,EV,4361,EWR,TYS,103.0,631,19,35,N13988
2013,11,1,1741.0,1636,65.0,1923.0,1814,69.0,EV,3813,EWR,GSO,78.0,445,16,36,N13992
2013,11,1,2128.0,2100,28.0,2241.0,2221,20.0,EV,5815,EWR,RIC,53.0,277,21,0,N13992
2013,11,1,1338.0,1226,72.0,1533.0,1418,75.0,EV,4640,EWR,DAY,93.0,533,12,26,N13994
2013,11,1,2037.0,2040,-3.0,2305.0,2248,17.0,EV,4536,EWR,CVG,101.0,569,20,40,N13994
2013,11,1,2135.0,2129,6.0,2335.0,2323,12.0,EV,3833,EWR,CLT,91.0,529,21,29,N13995
2013,11,1,845.0,850,-5.0,1007.0,1003,4.0,EV,3810,EWR,BUF,53.0,282,8,50,N13997
2013,11,1,1346.0,1252,54.0,1530.0,1450,40.0,EV,3852,EWR,DTW,85.0,488,12,52,N13997
2013,11,1,846.0,848,-2.0,1108.0,1110,-2.0,UA,1643,EWR,DEN,227.0,1605,8,48,N14115
2013,11,1,1114.0,1119,-5.0,1343.0,1350,-7.0,EV,4679,EWR,JAX,132.0,820,11,19,N14116
2013,11,1,1520.0,1521,-1.0,1913.0,1819,54.0,UA,1600,EWR,LAX,337.0,2454,15,21,N14118
2013,11,1,1022.0,1030,-8.0,1136.0,1144,-8.0,EV,6181,EWR,IAD,49.0,212,10,30,N14162
2013,11,1,928.0,840,48.0,1152.0,1050,62.0,EV,4638,EWR,CVG,107.0,569,8,40,N14171
2013,11,1,834.0,829,5.0,1106.0,1100,6.0,EV,4388,EWR,JAX,127.0,820,8,29,N14173
2013,11,1,2018.0,2003,15.0,2308.0,2237,31.0,EV,4204,EWR,OKC,196.0,1325,20,3,N14173
2013,11,1,1030.0,1035,-5.0,1243.0,1249,-6.0,EV,4495,EWR,SAV,115.0,708,10,35,N14174
2013,11,1,2040.0,2007,33.0,2248.0,2202,46.0,EV,4543,EWR,DSM,148.0,1017,20,7,N14174
2013,11,1,640.0,640,0.0,838.0,838,0.0,EV,4166,EWR,GSP,96.0,594,6,40,N14203
2013,11,1,849.0,840,9.0,1015.0,1000,15.0,EV,4252,EWR,MKE,112.0,725,8,40,N14562
2013,11,1,1617.0,1612,5.0,1824.0,1820,4.0,EV,4352,EWR,CVG,109.0,569,16,12,N14568
2013,11,1,,1548,,,1757,,EV,3825,EWR,IND,,645,15,48,N14568
2013,11,1,,1154,,,1308,,EV,3807,EWR,ORF,,284,11,54,N14568
2013,11,1,1304.0,1259,5.0,1606.0,1555,11.0,UA,1280,LGA,IAH,215.0,1416,12,59,N14704
2013,11,1,1726.0,1730,-4.0,1934.0,1938,-4.0,EV,3849,EWR,CVG,104.0,569,17,30,N14907
2013,11,1,841.0,840,1.0,1013.0,1005,8.0,EV,5813,EWR,RIC,61.0,277,8,40,N14916
2013,11,1,2012.0,2012,0.0,2201.0,2150,11.0,EV,4106,EWR,GSO,81.0,445,20,12,N14916
2013,11,1,,1230,,,1426,,EV,3848,EWR,CLT,,529,12,30,N14916
2013,11,1,1726.0,1638,48.0,1932.0,1829,63.0,EV,4175,EWR,AVL,102.0,583,16,38,N14923
2013,11,1,2228.0,2124,64.0,41.0,2337,64.0,EV,4682,EWR,SDF,118.0,642,21,24,N14923
2013,11,1,1654.0,1445,129.0,1833.0,1628,125.0,EV,4596,EWR,STL,142.0,872,14,45,N14950
2013,11,1,734.0,600,94.0,1015.0,829,106.0,EV,4137,EWR,ATL,131.0,746,6,0,N14953
2013,11,1,627.0,630,-3.0,818.0,813,5.0,EV,4334,EWR,CMH,83.0,463,6,30,N14959
2013,11,1,1121.0,1100,21.0,1258.0,1243,15.0,EV,4628,EWR,STL,142.0,872,11,0,N14959
2013,11,1,1832.0,1742,50.0,2045.0,1940,65.0,EV,4382,EWR,DTW,85.0,488,17,42,N14959
2013,11,1,608.0,615,-7.0,816.0,821,-5.0,EV,4471,EWR,CLT,98.0,529,6,15,N14993
2013,11,1,1717.0,1704,13.0,1916.0,1908,8.0,US,894,LGA,CLT,101.0,544,17,4,N152UW
2013,11,1,1814.0,1815,-1.0,2236.0,2138,58.0,DL,426,JFK,LAX,344.0,2475,18,15,N154DL
2013,11,1,628.0,630,-2.0,946.0,919,27.0,UA,1454,LGA,IAH,235.0,1416,6,30,N15712
2013,11,1,1445.0,1450,-5.0,1635.0,1649,-14.0,US,1995,LGA,CLT,94.0,544,14,50,N157UW
2013,11,1,1454.0,1450,4.0,1633.0,1625,8.0,EV,4662,EWR,RDU,78.0,416,14,50,N15912
2013,11,1,2124.0,2130,-6.0,2233.0,2240,-7.0,EV,4509,EWR,PWM,46.0,284,21,30,N15912
2013,11,1,1436.0,1440,-4.0,1543.0,1600,-17.0,EV,6049,EWR,IAD,47.0,212,14,40,N15973
2013,11,1,1518.0,1425,53.0,1636.0,1547,49.0,EV,4171,EWR,MSN,124.0,799,14,25,N15983
2013,11,1,1052.0,1053,-1.0,1224.0,1228,-4.0,EV,3828,EWR,RDU,72.0,416,10,53,N15986
2013,11,1,943.0,947,-4.0,1158.0,1151,7.0,EV,4714,EWR,CLT,101.0,529,9,47,N16170
2013,11,1,,1717,,,1908,,EV,4411,EWR,MEM,,946,17,17,N16170
2013,11,1,1859.0,1900,-1.0,2138.0,2154,-16.0,UA,1528,EWR,MCO,139.0,937,19,0,N16234
2013,11,1,1014.0,1015,-1.0,1214.0,1218,-4.0,US,893,JFK,CLT,92.0,541,10,15,N163US
2013,11,1,1949.0,1929,20.0,2122.0,2055,27.0,EV,4224,EWR,MKE,119.0,725,19,29,N16541
2013,11,1,1816.0,1815,1.0,2103.0,2130,-27.0,UA,1022,EWR,SNA,321.0,2434,18,15,N16701
2013,11,1,1134.0,1140,-6.0,1426.0,1430,-4.0,UA,1618,EWR,TPA,158.0,997,11,40,N16709
2013,11,1,841.0,840,1.0,1158.0,1145,13.0,UA,1401,EWR,MIA,160.0,1085,8,40,N16713
2013,11,1,1658.0,1700,-2.0,2005.0,2000,5.0,UA,1665,EWR,LAX,329.0,2454,17,0,N16713
2013,11,1,753.0,756,-3.0,946.0,959,-13.0,US,1733,LGA,CLT,92.0,544,7,56,N167US
2013,11,1,655.0,659,-4.0,944.0,912,32.0,EV,4122,EWR,SDF,133.0,642,6,59,N16911
2013,11,1,904.0,837,27.0,1106.0,939,87.0,EV,4249,EWR,BWI,46.0,169,8,37,N16918
2013,11,1,1659.0,1700,-1.0,1925.0,1931,-6.0,EV,4705,EWR,ATL,128.0,746,17,0,N16919
2013,11,1,1930.0,1911,19.0,2128.0,2110,18.0,EV,5909,EWR,CLT,99.0,529,19,11,N16961
2013,11,1,636.0,641,-5.0,812.0,805,7.0,EV,4522,EWR,BNA,129.0,748,6,41,N16963
2013,11,1,1928.0,1934,-6.0,2145.0,2136,9.0,EV,4370,EWR,CHS,110.0,628,19,34,N16963
2013,11,1,1623.0,1528,55.0,1751.0,1659,52.0,EV,4502,EWR,BNA,125.0,748,15,28,N16976
2013,11,1,1603.0,1529,34.0,1711.0,1649,22.0,EV,4580,EWR,MKE,111.0,725,15,29,N16981
2013,11,1,746.0,749,-3.0,940.0,946,-6.0,EV,4246,EWR,DTW,89.0,488,7,49,N16999
2013,11,1,1318.0,1257,21.0,1418.0,1414,4.0,EV,6054,EWR,IAD,41.0,212,12,57,N16999
2013,11,1,2231.0,2210,21.0,2332.0,2323,9.0,EV,5904,EWR,BTV,45.0,266,22,10,N17115
2013,11,1,756.0,805,-9.0,1001.0,1022,-21.0,EV,4364,EWR,MCI,167.0,1092,8,5,N17159
2013,11,1,1726.0,1729,-3.0,1905.0,1900,5.0,EV,4195,EWR,BNA,126.0,748,17,29,N17159
2013,11,1,,1515,,,1724,,EV,4181,EWR,MCI,,1092,15,15,N17159
2013,11,1,2040.0,2025,15.0,2258.0,2228,30.0,EV,4348,EWR,MSP,154.0,1008,20,25,N17185
2013,11,1,2107.0,2059,8.0,2259.0,2255,4.0,EV,4368,EWR,DAY,83.0,533,20,59,N17196
2013,11,1,,1018,,,1215,,EV,4297,EWR,DTW,,488,10,18,N17196
2013,11,1,1321.0,1259,22.0,1512.0,1501,11.0,US,1843,LGA,CLT,92.0,544,12,59,N173US
2013,11,1,609.0,615,-6.0,807.0,818,-11.0,US,1989,EWR,CLT,89.0,529,6,15,N174US
2013,11,1,1714.0,1446,148.0,1943.0,1717,146.0,EV,4140,EWR,ATL,126.0,746,14,46,N17560
2013,11,1,1852.0,1855,-3.0,2118.0,2130,-12.0,DL,87,JFK,ATL,116.0,760,18,55,N175DZ
2013,11,1,1919.0,1829,50.0,2109.0,2033,36.0,US,1751,EWR,CLT,90.0,529,18,29,N177US
2013,11,1,845.0,754,51.0,1013.0,911,62.0,B6,1307,JFK,IAD,51.0,228,7,54,N179JB
2013,11,1,2020.0,2025,-5.0,9.0,26,-17.0,UA,1071,EWR,BQN,195.0,1585,20,25,N18223
2013,11,1,618.0,625,-7.0,725.0,735,-10.0,B6,2180,EWR,BOS,44.0,200,6,25,N183JB
2013,11,1,956.0,1003,-7.0,1224.0,1202,22.0,EV,4255,EWR,CHS,109.0,628,10,3,N18557
2013,11,1,1611.0,1613,-2.0,1717.0,1730,-13.0,EV,3824,EWR,IAD,46.0,212,16,13,N18557
2013,11,1,820.0,825,-5.0,1053.0,1029,24.0,US,1831,JFK,CLT,108.0,541,8,25,N188US
2013,11,1,1306.0,1311,-5.0,1738.0,1624,74.0,DL,424,JFK,LAX,337.0,2475,13,11,N192DN
2013,11,1,455.0,500,-5.0,641.0,651,-10.0,US,1895,EWR,CLT,88.0,529,5,0,N192UW
2013,11,1,1036.0,1023,13.0,1226.0,1218,8.0,US,1745,EWR,CLT,91.0,529,10,23,N194UW
2013,11,1,838.0,840,-2.0,1028.0,1023,5.0,EV,4711,EWR,STL,146.0,872,8,40,N19554
2013,11,1,1535.0,1507,28.0,1814.0,1738,36.0,EV,4377,EWR,JAX,142.0,820,15,7,N19554
2013,11,1,,1456,,,1657,,EV,4144,EWR,CHS,,628,14,56,N19554
2013,11,1,1122.0,1130,-8.0,1328.0,1332,-4.0,US,707,LGA,CLT,95.0,544,11,30,N195UW
2013,11,1,619.0,620,-1.0,723.0,728,-5.0,EV,4241,EWR,DCA,48.0,199,6,20,N19966
2013,11,1,606.0,615,-9.0,807.0,817,-10.0,US,1899,JFK,CLT,93.0,541,6,15,N199UW
2013,11,1,1922.0,1729,113.0,2135.0,1951,104.0,F9,837,LGA,DEN,223.0,1620,17,29,N205FR
2013,11,1,1304.0,1304,0.0,1546.0,1554,-8.0,UA,1641,EWR,MCO,144.0,937,13,4,N21108
2013,11,1,1023.0,1026,-3.0,1213.0,1221,-8.0,EV,4412,EWR,DSM,150.0,1017,10,26,N21129
2013,11,1,733.0,737,-4.0,914.0,915,-1.0,EV,3821,EWR,GSO,81.0,445,7,37,N21130
2013,11,1,1859.0,1840,19.0,2017.0,1958,19.0,EV,4131,EWR,RIC,55.0,277,18,40,N21130
2013,11,1,,1239,,,1510,,EV,4141,EWR,ATL,,746,12,39,N21130
2013,11,1,2133.0,2059,34.0,2317.0,2242,35.0,EV,4672,EWR,STL,131.0,872,20,59,N21144
2013,11,1,,1430,,,1533,,EV,4696,EWR,MHT,,209,14,30,N21144
2013,11,1,2230.0,2110,80.0,110.0,2341,89.0,EV,5811,EWR,JAX,137.0,820,21,10,N21537
2013,11,1,822.0,830,-8.0,1042.0,1100,-18.0,F9,509,LGA,DEN,232.0,1620,8,30,N216FR
2013,11,1,846.0,836,10.0,1010.0,953,17.0,B6,2280,EWR,BOS,46.0,200,8,36,N216JB
2013,11,1,1656.0,1559,57.0,1829.0,1746,43.0,B6,1105,JFK,ORD,122.0,740,15,59,N216JB
2013,11,1,1055.0,1100,-5.0,1236.0,1246,-10.0,EV,5174,EWR,DTW,83.0,488,11,0,N228PQ
2013,11,1,1019.0,1025,-6.0,1122.0,1127,-5.0,B6,518,JFK,BOS,49.0,187,10,25,N229JB
2013,11,1,1930.0,1845,45.0,2208.0,2136,32.0,B6,327,EWR,MCO,139.0,937,18,45,N231JB
2013,11,1,,1430,,,1634,,EV,5370,EWR,MSP,,1008,14,30,N232PQ
2013,11,1,600.0,600,0.0,725.0,721,4.0,UA,1198,LGA,ORD,121.0,733,6,0,N23707
2013,11,1,1351.0,1229,82.0,1507.0,1345,82.0,B6,1386,JFK,ROC,64.0,264,12,29,N238JB
2013,11,1,1742.0,1700,42.0,1841.0,1816,25.0,B6,1734,JFK,BTV,42.0,266,17,0,N238JB
2013,11,1,2125.0,2106,19.0,7.0,2343,24.0,B6,1677,JFK,JAX,135.0,828,21,6,N238JB
2013,11,1,1046.0,936,70.0,1146.0,1052,54.0,B6,116,JFK,SYR,42.0,209,9,36,N239JB
2013,11,1,1417.0,1329,48.0,1721.0,1630,51.0,B6,1401,JFK,FLL,167.0,1069,13,29,N239JB
2013,11,1,722.0,725,-3.0,1007.0,953,14.0,UA,1548,EWR,MSY,195.0,1167,7,25,N24702
2013,11,1,2027.0,2000,27.0,2315.0,2252,23.0,UA,1712,EWR,IAH,192.0,1400,20,0,N24702
2013,11,1,644.0,650,-6.0,814.0,819,-5.0,UA,1622,EWR,ORD,123.0,719,6,50,N24729
2013,11,1,628.0,630,-2.0,801.0,806,-5.0,B6,905,JFK,ORD,119.0,740,6,30,N247JB
2013,11,1,2051.0,2106,-15.0,2204.0,2213,-9.0,B6,2680,EWR,BOS,41.0,200,21,6,N247JB
2013,11,1,1810.0,1650,80.0,1913.0,1802,71.0,B6,918,JFK,BOS,45.0,187,16,50,N258JB
2013,11,1,752.0,755,-3.0,907.0,910,-3.0,WN,909,EWR,MDW,114.0,711,7,55,N258WN
2013,11,1,1031.0,1031,0.0,1301.0,1240,21.0,EV,4632,EWR,OMA,184.0,1134,10,31,N26141
2013,11,1,1840.0,1741,59.0,2034.0,1944,50.0,EV,4667,EWR,MSP,149.0,1008,17,41,N26141
2013,11,1,1357.0,1355,2.0,1658.0,1717,-19.0,UA,1663,EWR,SFO,340.0,2565,13,55,N26208
2013,11,1,733.0,740,-7.0,949.0,945,4.0,EV,4111,EWR,CHS,109.0,628,7,40,N26549
2013,11,1,1529.0,1525,4.0,1726.0,1726,0.0,EV,4576,EWR,GRR,97.0,605,15,25,N26549
2013,11,1,,1656,,,1852,,EV,4201,EWR,DAY,,533,16,56,N26549
2013,11,1,908.0,910,-2.0,1013.0,1025,-12.0,B6,1634,JFK,BTV,42.0,266,9,10,N265JB
2013,11,1,1259.0,1040,139.0,1426.0,1159,147.0,B6,2602,JFK,BUF,67.0,301,10,40,N265JB
2013,11,1,1704.0,1535,89.0,2010.0,1857,73.0,B6,1729,JFK,RSW,169.0,1074,15,35,N265JB
2013,11,1,1537.0,1400,97.0,1639.0,1509,90.0,B6,118,JFK,BOS,39.0,187,14,0,N266JB
2013,11,1,1058.0,1100,-2.0,1227.0,1250,-23.0,WN,1341,LGA,BNA,124.0,764,11,0,N266WN
2013,11,1,,935,,,1055,,WN,3814,LGA,MKE,,738,9,35,N266WN
2013,11,1,1207.0,1200,7.0,1311.0,1304,7.0,B6,2380,EWR,BOS,45.0,200,12,0,N267JB
2013,11,1,1249.0,1250,-1.0,1401.0,1410,-9.0,WN,3211,LGA,MKE,111.0,738,12,50,N269WN
2013,11,1,1416.0,1359,17.0,1621.0,1602,19.0,EV,4193,EWR,MSP,160.0,1008,13,59,N27190
2013,11,1,,2127,,,2237,,EV,4372,EWR,DCA,,199,21,27,N27190
2013,11,1,1939.0,1934,5.0,2212.0,2226,-14.0,UA,1429,EWR,LAS,305.0,2227,19,34,N27205
2013,11,1,803.0,800,3.0,924.0,929,-5.0,UA,1177,EWR,ORD,117.0,719,8,0,N27421
2013,11,1,646.0,650,-4.0,758.0,759,-1.0,B6,318,JFK,BOS,39.0,187,6,50,N284JB
2013,11,1,1815.0,1706,69.0,1928.0,1818,70.0,B6,2580,EWR,BOS,43.0,200,17,6,N284JB
2013,11,1,1633.0,1629,4.0,1911.0,1919,-8.0,UA,1695,EWR,IAH,196.0,1400,16,29,N29124
2013,11,1,1359.0,1359,0.0,1458.0,1511,-13.0,UA,1481,EWR,BOS,41.0,200,13,59,N29129
2013,11,1,1441.0,1438,3.0,1740.0,1744,-4.0,B6,581,JFK,HOU,211.0,1428,14,38,N292JB
2013,11,1,2036.0,2035,1.0,2203.0,2204,-1.0,9E,3395,JFK,DCA,57.0,213,20,35,N292PQ
2013,11,1,800.0,805,-5.0,1035.0,1047,-12.0,9E,3528,LGA,JAX,129.0,833,8,5,N293PQ
2013,11,1,1548.0,1429,79.0,1732.0,1623,69.0,9E,3527,LGA,RDU,77.0,431,14,29,N293PQ
2013,11,1,2057.0,1920,97.0,2217.0,2053,84.0,9E,3555,LGA,BUF,52.0,292,19,20,N293PQ
2013,11,1,1431.0,1436,-5.0,1539.0,1557,-18.0,B6,286,JFK,ROC,52.0,264,14,36,N296JB
2013,11,1,1842.0,1837,5.0,2001.0,2009,-8.0,B6,2202,JFK,BUF,63.0,301,18,37,N296JB
2013,11,1,2234.0,2245,-11.0,2336.0,2353,-17.0,B6,108,JFK,PWM,45.0,273,22,45,N296JB
2013,11,1,1245.0,1249,-4.0,1511.0,1512,-1.0,UA,1629,EWR,MSY,185.0,1167,12,49,N29717
2013,11,1,2056.0,2059,-3.0,2215.0,2211,4.0,UA,1066,EWR,BOS,42.0,200,20,59,N29717
2013,11,1,1428.0,1410,18.0,1631.0,1616,15.0,B6,1373,JFK,CHS,106.0,636,14,10,N298JB
2013,11,1,803.0,810,-7.0,1109.0,1111,-2.0,DL,1167,JFK,TPA,161.0,1005,8,10,N302DQ
2013,11,1,807.0,815,-8.0,1123.0,1123,0.0,B6,281,JFK,HOU,228.0,1428,8,15,N307JB
2013,11,1,1705.0,1708,-3.0,1915.0,1909,6.0,B6,1119,JFK,CLT,103.0,541,17,8,N307JB
2013,11,1,2247.0,2250,-3.0,6.0,8,-2.0,B6,2002,JFK,BUF,58.0,301,22,50,N307JB
2013,11,1,554.0,600,-6.0,749.0,751,-2.0,DL,731,LGA,DTW,93.0,502,6,0,N315NB
2013,11,1,1120.0,1110,10.0,1430.0,1417,13.0,DL,1875,LGA,TPA,160.0,1010,11,10,N315NB
2013,11,1,1832.0,1825,7.0,2154.0,2133,21.0,DL,1854,LGA,FLL,174.0,1076,18,25,N315NB
2013,11,1,733.0,736,-3.0,1146.0,920,,B6,885,JFK,RDU,,427,7,36,N316JB
2013,11,1,801.0,805,-4.0,1102.0,1106,-4.0,DL,1109,LGA,TPA,151.0,1010,8,5,N316NB
2013,11,1,1505.0,1505,0.0,1756.0,1802,-6.0,DL,2181,LGA,MCO,147.0,950,15,5,N316NB
2013,11,1,1421.0,1325,56.0,1520.0,1436,44.0,B6,308,JFK,PWM,46.0,273,13,25,N317JB
2013,11,1,1759.0,1730,29.0,1943.0,1914,29.0,B6,1185,JFK,RDU,79.0,427,17,30,N317JB
2013,11,1,904.0,910,-6.0,1234.0,1229,5.0,DL,874,LGA,MIA,169.0,1096,9,10,N317NB
2013,11,1,1647.0,1645,2.0,1859.0,1920,-21.0,DL,884,LGA,DEN,221.0,1620,16,45,N317NB
2013,11,1,1626.0,1625,1.0,1940.0,1953,-13.0,DL,1373,JFK,MIA,159.0,1089,16,25,N317US
2013,11,1,706.0,710,-4.0,1024.0,1022,2.0,DL,2003,LGA,MIA,166.0,1096,7,10,N318NB
2013,11,1,1439.0,1440,-1.0,1614.0,1638,-24.0,DL,1231,LGA,DTW,81.0,502,14,40,N318NB
2013,11,1,1946.0,1956,-10.0,2140.0,2155,-15.0,DL,2131,LGA,DTW,79.0,502,19,56,N318NB
2013,11,1,1203.0,1200,3.0,1502.0,1455,7.0,AA,3,JFK,LAX,333.0,2475,12,0,N319AA
2013,11,1,1044.0,1045,-1.0,1439.0,1359,40.0,DL,954,LGA,FLL,193.0,1076,10,45,N319NB
2013,11,1,1923.0,1925,-2.0,2231.0,2227,4.0,DL,1435,LGA,TPA,157.0,1010,19,25,N319NB
2013,11,1,1200.0,1205,-5.0,1452.0,1511,-19.0,DL,1685,LGA,MCO,143.0,950,12,5,N319US
2013,11,1,1058.0,1100,-2.0,1417.0,1415,2.0,DL,2098,LGA,MIA,168.0,1096,11,0,N320NB
2013,11,1,1855.0,1900,-5.0,2120.0,2127,-7.0,DL,1715,LGA,MSY,173.0,1183,19,0,N320NB
2013,11,1,1159.0,1200,-1.0,1301.0,1312,-11.0,DL,2451,JFK,BOS,38.0,187,12,0,N321NB
2013,11,1,1615.0,1620,-5.0,1717.0,1755,-38.0,DL,2443,JFK,BOS,36.0,187,16,20,N321NB
2013,11,1,2044.0,2050,-6.0,2157.0,2212,-15.0,DL,985,JFK,BOS,38.0,187,20,50,N321NB
2013,11,1,1026.0,1030,-4.0,1341.0,1335,6.0,AA,179,JFK,SFO,344.0,2586,10,30,N323AA
2013,11,1,1724.0,1719,5.0,1937.0,1942,-5.0,UA,1635,EWR,PHX,284.0,2133,17,19,N32404
2013,11,1,1843.0,1845,-2.0,2138.0,2210,-32.0,AA,177,JFK,SFO,335.0,2586,18,45,N324AA
2013,11,1,739.0,745,-6.0,1016.0,1009,7.0,DL,807,EWR,ATL,126.0,746,7,45,N326US
2013,11,1,1423.0,1415,8.0,1651.0,1636,15.0,DL,673,EWR,ATL,120.0,746,14,15,N326US
2013,11,1,1719.0,1630,49.0,2040.0,1940,60.0,AA,181,JFK,LAX,322.0,2475,16,30,N327AA
2013,11,1,757.0,800,-3.0,1048.0,1100,-12.0,AA,33,JFK,LAX,329.0,2475,8,0,N329AA
2013,11,1,2007.0,2010,-3.0,2105.0,2122,-17.0,B6,418,JFK,BOS,38.0,187,20,10,N329JB
2013,11,1,1445.0,1430,15.0,1749.0,1742,7.0,UA,1296,EWR,SFO,341.0,2565,14,30,N33132
2013,11,1,1959.0,2000,-1.0,2306.0,2328,-22.0,UA,1651,EWR,SFO,339.0,2565,20,0,N33262
